Japonês,Inglês,Português,Explicação,Tipo de Termo,Onde aparece
,Fiery King of Giants,Rei Flamejante dos Gigantes,O título de Surtr.,Gotterdammerung,FGO
,Ollerus Boards,Pranchas de Ollerus,As pranchas de esquiar do Ortenaus.,Gotterdammerung,FGO
,Ooh la la,Uh la lá,Frase que o Napoleão adora usar.,Gotterdammerung,FGO
,Poetic Edda,Edda em verso,Uma coleção de poemas em nórdico antigo sobre diversos heróis e contos.,Gotterdammerung,FGO
,Primordial Runes,Runas Primordiais,"Runas especiais criadas por Odin, o Pai de Todos.",Gotterdammerung,FGO
,Queen of Ice and Snow,Rainha do Gelo e da Neve,O título de Scáthach-Skadi.,Gotterdammerung,FGO
,Spiritron Hacker,Hacker de Spiritrons,Um mago capaz de utilizar magias que empregam Spiritrons como matéria-prima.,Gotterdammerung,FGO
,Valkyrie(s),Valquíria(s),"As filhas de Odin que conduziam bravos guerreiros mortos ao salão dos mortos, Valhalla.",Gotterdammerung,FGO
,Völsunga Saga,Saga dos Volsungos,"A saga lendária sobre o clã dos Volsungos, que inclui histórias sobre diversos heróis islandeses e nórdicos.",Gotterdammerung,FGO
,Child of Heaven,Criança Celestial,Título de Qin Shi Huang.,Sin,FGO
,Chronicle Theoretical Phenomenon,Fenômeno Teórico Crônico.,,Sin,FGO
,Memory Partition,Partição de Memória,"Habilidade da Sion de dividir sua memória e otimizar sua habilidade cognitiva, em conjunto da Aceleração de Pensamentos Paralelos.",Sin,FGO
,Most Glorious and Majestic Heavenly Emperor,Mais Glorioso e Majestoso Imperador Celestial ,Outro título de Qin Shi Huang.,Sin,FGO
,Parallel Thought Acceleration,Aceleração de Pensamentos Paralelos,"Habilidade da Sion de dividir sua memória e otimizar sua habilidade cognitiva, em conjunto da Partição de Memória.",Sin,FGO
,"Spiritron Calculation Engine, Trismegistus II","Mecanismo de Cálculo de Spiritrons, Trismegistus II",O novo supercomputador que Sion construiu para substituir o Trismegistus original.,Sin,FGO
,Type (Profissão),(Profissão) (Durante o LB3) / Nemo (Profissão) (Depois do LB4),Os vários clones que Nemo cria para operar em seu navio.,Sin,FGO
,Pillbox,Caixa de Pílulas,,Ooku,FGO
,God's Skyboulder,Rocha Divina,O cubo misterioso que reside ao sul do Lostbelt indiano. Os moradores o associam ao seu deus.,Yuga Kshetra,FGO
,Imaginary Aronnax Phantasm rigging,"Armação Imaginária, Aronnax Phantasm","A armação que, quando implementada ao Shadow Border, cria o Storm Border ao final do capítulo.",Yuga Kshetra,FGO
,Ocean of Milk,Oceano de Leite,"Kṣīra Sāgara, o oceano do néctar da vida eterna na mitologia hindu.",Yuga Kshetra,FGO
,Sacred Beasts,Bestas Sagradas,As bestas que dizem ser enviadas pelo deus do Lostbelt indiano para matar os Kalis nos yugas mais avançados.,Yuga Kshetra,FGO
,Void Cell,Célula Nula,Uma bateria criada pela Sion para prover energia ao ritual de invocação.,Yuga Kshetra,FGO
,Aphrodite,Afrodite,,Atlantis,FGO
,Apollo,Apolo,,Atlantis,FGO
,Athena,Atena,,Atlantis,FGO
,Atlas the World Tree,"Atlas, a Árvore do Mundo",O nome da Árvore do Vazio do LB5.,Atlantis,FGO
,Demeter,Deméter,,Atlantis,FGO
,Dionysius,Dionísio,,Atlantis,FGO
,Hecate,Hécate,,Atlantis,FGO
,Hephaestus,Hefesto,,Atlantis,FGO
,Persephone,Perséfone,,Atlantis,FGO
,Shooting Star Ortygia,Estrela Cadente Ortygia,Um laser destrutivo de Artemis.,Atlantis,FGO
,Xanthus,Xantos,,Atlantis,FGO
,Altartown,Praça do Altar,,Olympus,FGO
,Chaos,Caos,,Olympus,FGO
,Cronus,Cronos,,Olympus,FGO
,God Destroyer Alliance,Aliança Destruidora de Deuses,A aliança criada por alguns humanos do Olímpo e Servos da História Humana Apropriada para derrubar os deuses.,Olympus,FGO
,Grand Summon Article,Artefato de Grã-Invocação,,Olympus,FGO
,Great Orbital Shrine,Grande Templo Orbital,,Olympus,FGO
,"Holy Vessel Ring, Cronus Crown","Receptáculo Anelar Sagrado, Coroa de Cronos",,Olympus,FGO
,Machina Corridor,Corredor Machina,,Olympus,FGO
,Olympia Dodona,Dodona Olímpica,,Olympus,FGO
,Operation God Destroyer,Operação Destruidora de Deuses,A operação criada pela Aliança Destruidora de Deuses.,Olympus,FGO
,Paradox Effector,Efetor de Paradoxo,,Olympus,FGO
,Prometheus,Prometeu,,Olympus,FGO
,Seven Link Heroic Spirit Cannon,Canhão dos Sete Elos de Espíritos Heroicos,,Olympus,FGO
,Statuetown,Praça da(s) Estátua(s),,Olympus,FGO
,Stymphalides,Estínfalo,,Olympus,FGO
,Deathmatch Stage,Palco do Duelo Mortal,Duelos entre Servos realizados durante a Guerra Imperial do Santo Graal.,Heian Kyo,FGO
,Four Heavenly Kings,Quatro Guardiões Celestiais,Quatro dos mais notáveis retentores de Minamoto-no-Raikou.,Heian Kyo,FGO
,Imperial Holy Grail War,Guerra Imperial do Santo Graal,A Guerra do Santo Graal que ocorre durante os eventos de Heian Kyo.,Heian Kyo,FGO
,Minister of the Left,Ministro da Esquerda,"Cargo político que cuidava de todos os setores do Estado, juntamente com o Ministro da Direita.",Heian Kyo,FGO
,Naraka Mandala,Mandala de Naraka,Outro nome da Árvore do Vazio criada por Limbo durante a história de Heian Kyo.,Heian Kyo,FGO
,Naraka Mandala Skull Eboshi Ashiya Douman,Ashiya Douman do Eboshi Craniano e da Mandala de Naraka,"Título de Ashiya Douman após se fundir com sua Árvore do Vazio Artificial, a Mandala de Naraka.",Heian Kyo,FGO
,Onmyou Bureau,Agência Onmyou,,Heian Kyo,FGO
,Pseudo-Tree of Emptiness,Árvore do Vazio Artificial,Árvore do Vazio criada por Limbo durante a história de Heian Kyo.,Heian Kyo,FGO
,Skull Eboshi,Eboshi Craniano,Chapéu que o Limbo usa em sua última Ascensão.,Heian Kyo,FGO
,A Midsummer Night's Dream,Sonho de uma Noite de Verão,Livro de Shakespeare.,Avalon Le Fae,FGO
,Abyssal Worm,Inseto Abissal,"Uma das Calamidades que aparece durante o Lostbelt 6.
O inseto que desaparecerá com tudo e todos.",Avalon Le Fae,FGO
,Aesc the Savior,"Freixo, a Salvadora","Título de Freixo, a primeira Fada do Paraíso.",Avalon Le Fae,FGO
,Agravain the Enforcer,"Agravain, o Executor",Título do Cavaleiro da Távola Redonda Agravain.,Avalon Le Fae,FGO
,Autumn Woods of Wales,Bosque Outonal de Gales,"Um bosque na costa oeste da Bretanha,
local onde fadas que foram maltratadas e exiladas tomaram como lar.",Avalon Le Fae,FGO
,Bell of Pilgrimage,Sino da Peregrinação,Os Sinos protegidos pelos seis clãs da Bretanha Feérica.,Avalon Le Fae,FGO
,Black Dogs,Cães Negros,"Cães selvagens que perturbam a paz na Bretanha há séculos.
Barghest consegue domá-los com suas correntes.",Avalon Le Fae,FGO
,Britain,Bretanha,A Bretanha Feérica do Lostbelt 6. ,Avalon Le Fae,FGO
,Calamity of the Beast,Calamidade da Besta,"Uma das Calamidades que aparece durante o Lostbelt 6.
A maldição lançada pelo Rei dos Mors quando foi derrotado.",Avalon Le Fae,FGO
,Calamity of the Flame, Calamidade das Chamas,"Uma das Calamidades que aparece durante o Lostbelt 6.
A última remanescente da cova espiritual.",Avalon Le Fae,FGO
,Calamity Pool,Poça da Calamidade,"Uma das Calamidades que aparece durante o Lostbelt 6.
A poça que destruirá a cidade portuária.",Avalon Le Fae,FGO
,Child of Prophecy,Criança da Profecia,"A Fada do Paraíso que, segundo a profecia do clã do Espelho,
há de completar a Peregrinação e salvar a Bretanha Feérica.",Avalon Le Fae,FGO
,Clever Kay,"Kay, o Hábil",Título do Cavaleiro da Távola Redonda Kay.,Avalon Le Fae,FGO
,Cnoc na Riabh,Cnoc na Riabh,"A segunda líder do Clã do Rei.
Uma fada estranhamente familiar.",Avalon Le Fae,FGO
,Cornwall,Cornualha,"É um condado ao sudoeste da Inglaterra.
Aqui, é um vilarejo isolado do resto da Bretanha pelo Bosque Sem Nome.",Avalon Le Fae,FGO
,Earnest Gaheris,"Gaheris, o Convicto",Título do Cavaleiro da Távola Redonda Gaheris.,Avalon Le Fae,FGO
,Earth Clan,Clã da Terra,"Um dos seis clãs da Bretanha Feérica.
Composto majoritariamente por fadas de porte robusto.",Avalon Le Fae,FGO
,Ector the Immortal,"Ector, o Imortal","Um dos companheiros de Freixo, a Salvadora.
Um cavaleiro pragmático e bondoso.",Avalon Le Fae,FGO
,Edinburgh,Edimburgo,"A capital da Escócia. Aqui, é a cidade que o clã do Rei construiu ao norte.",Avalon Le Fae,FGO
,Enshrined Deity,Deidade Consagrada,O título de um ser que outrora fez parte da mitologia da Bretanha Feérica.,Avalon Le Fae,FGO
,Fae,Feérico,(Adjetivo) Aquilo que é das fadas.,Avalon Le Fae,FGO
,Fae / Faerie,Fada,"Fadas são Espíritos da Natureza, tal qual elementais e demônios.
São inocentes e puras no sentido literal, e fazem o que querem quando querem.",Avalon Le Fae,FGO
,Fae Eyes,Olhos de Fada,"Uma habilidade que permite às fadas observar e distinguir as verdadeiras
intenções por trás das palavras e ações de outros seres vivos.",Avalon Le Fae,FGO
,Faerie King Oberon,"Oberon, o Rei das Fadas",Título de Oberon.,Avalon Le Fae,FGO
,Faerie of Paradise,Fada do Paraíso,"A fada enviada pela própria Avalon que, segundo a profecia do clã do Espelho,
há de completar a Peregrinação e salvar a Bretanha Feérica.",Avalon Le Fae,FGO
,Fang Clan,Clã da Presa,"Um dos seis clãs da Bretanha Feérica.
Composto majoritariamente por fadas guerreiras, resistentes e ferozes.",Avalon Le Fae,FGO
,Galahad the Revelation,"Galahad, a Revelação",Título do Cavaleiro da Távola Redonda Galahad.,Avalon Le Fae,FGO
,Garden of Lost Will,Jardim do Ímpeto Perdido,"Um feitiço que prende o alvo em visões distorcidas do seu passado,
com o objetivo de drenar todo o seu ímpeto de viver.",Avalon Le Fae,FGO
,"Grand Duke ""Waste Heat""",Grão-Duque do Calor Residual,"Título de Wryneck e de Woodwose, o seu sucessor.
Como A-ray, o Calor Residual incita a forma que o mundo libera sua energia.",Avalon Le Fae,FGO
,Grímr the Wise,"Grímr, o Sábio","Um dos companheiros de Freixo, a Salvadora.
Um mago jovem, sagaz, e misterioso.",Avalon Le Fae,FGO
,Habetrot the Spinner,"Habetrot, a Fiandeira",Título de Habetrot.,Avalon Le Fae,FGO
,Habbycat,Habemiau,Apelido de Habetrot.,Avalon Le Fae,FGO
,High Queen,Alta Rainha,"Título da rainha da Bretanha Feérica, Morgan.",Avalon Le Fae,FGO
,Inner Sea of the Planet,Mar Interior do Planeta,"Um dos muitos nomes do núcleo do planeta.
Avalon, Tír na nÓg, o Paraíso... Todos se referem ao Mar Interior do Planeta.",Avalon Le Fae,FGO
,Kindhearted Gareth,"Gareth, a Bondosa",Título da Cavaleira da Távola Redonda Gareth.,Avalon Le Fae,FGO
,King Clan,Clã do Rei,"Um dos seis clãs da Bretanha Feérica.
Composto das fadas oriundas do norte e que juraram lealdade à Cnoc na Riabh.",Avalon Le Fae,FGO
,Knocker Company: Surprise and Security,"Companhia Knocker: ""Surpresa e Segurança""",Uma marca de roupas no mundo das fadas e o seu slogan.,Avalon Le Fae,FGO
,Land of the Young Tír na nÓg,"Tír na nÓg, a Terra da Eterna Juventude","Um dos muitos nomes do núcleo do planeta.
Avalon, Tír na nÓg, o Paraíso... Todos se referem ao Mar Interior do Planeta.",Avalon Le Fae,FGO
,Londinium ,Londínio,"Uma cidade fundada por romanos no século I. A atual Londres.
Aqui, é uma cidade fantasma que foi abandonada após um desastre.",Avalon Le Fae,FGO
,Loyal Bedivere,"Bedivere, o Leal",Título do Cavaleiro da Távola Redonda Bedivere.,Avalon Le Fae,FGO
,Mirror Clan,Clã do Espelho,"Um dos seis clãs da Bretanha Feérica.
Composto de fadas com clarividência, o clã foi extinto em uma única noite.",Avalon Le Fae,FGO
,Morpounds,Morlibras,Moeda de troca atual da Bretanha Feérica.,Avalon Le Fae,FGO
,Nameless Woods,Bosque Sem Nome,"Bosque na costa da Cornualha amaldiçoado por uma névoa que faz
com que seres vivos que ali entrem percam as memórias sobre si mesmos.",Avalon Le Fae,FGO
,Nightcall,Grito da Noite,Espíritos de fadas que não entraram no ciclo de reencarnação.,Avalon Le Fae,FGO
,Orkney,Órcades,"O nome de um arquipélago ao norte da Escócia.
Aqui, é a cidade fantasma que outrora foi sede do clã da Chuva.",Avalon Le Fae,FGO
,Palamedes the Duelist,"Palamedes, o Duelista",Título do Cavaleiro da Távola Redonda Palamedes.,Avalon Le Fae,FGO
,Percival of the White Light,Percival da Luz Branca,"Título do Percival deste Lostbelt, dado por sua aptidão com a Lança da Seleção.",Avalon Le Fae,FGO
,Pilgrimage ,Peregrinação,"Na Bretanha Feérica, a Peregrinação se refere exclusivamente à jornada que a
Fada do Paraíso deve realizar para poder absolver os pecados da terra das fadas.",Avalon Le Fae,FGO
,Rain Clan,Clã da Chuva,"O clã da Bretanha Feérica que foi extinto há milênios.
Após um golpe político, o clã da Chuva foi massacrado pelos outros clãs.",Avalon Le Fae,FGO
,Salisbury ,Salisbúria,"Uma cidade ao sul da Inglaterra.
Aqui, é a sede do clã do Vento e da Catedral Freixo.",Avalon Le Fae,FGO
,Site of Selection,Altar da Seleção,"Um altar situado em Avalon. A forja do Mar Interior do Planeta.
O local onde a Fada do Paraíso concluirá sua jornada.",Avalon Le Fae,FGO
,Spear of Selection,Lança da Seleção,"Quando Freixo ainda bebê foi encontrada na costa de Orcádes, ela levava consigo
esta arma sagrada ritualística. Hoje, ela se encontra nas mãos de Percival.",Avalon Le Fae,FGO
,Staff of Selection,Cajado da Seleção,"Assim como Freixo e sua Lança, Artoria chegou ao vilarejo de Tintagel
com este cajado sagrado. Artoria o apelidou de Chastiefol.",Avalon Le Fae,FGO
,Sturdy Percival,"Percival, o Resistente",Título do Cavaleiro da Távola Redonda Percival.,Avalon Le Fae,FGO
,Taciturn Mordred,"Mordred, o Taciturno",Título do Cavaleiro da Távola Redonda Mordred.,Avalon Le Fae,FGO
,Tam Lin,Cavaleira Feérica,"Fadas a quem a rainha Morgan concedeu as ""Dádivas"", os nomes e poderes
dos Cavaleiros da Távola Redonda da História Humana Apropriada.",Avalon Le Fae,FGO
,Totrot the First Knight,"Totrot, a Primeira Cavaleira","Um dos companheiros de Freixo, a Salvadora.
Uma fada feroz e sem papas na língua.",Avalon Le Fae,FGO
,Valentine Mab Match,Duelo Mab de Dia dos Namorados,O duelo real entre candidatas à coroa no Clã do Rei.,Avalon Le Fae,FGO
,Wales ,Gales,"Um dos países que constituem o Reino Unido.
Aqui, Gales é um pequeno bosque situado na costa oeste.",Avalon Le Fae,FGO
,Wind Clan,Clã do Vento,"Um dos seis clãs da Bretanha Feérica.
Composto principalmente por fadas ágeis e simples.",Avalon Le Fae,FGO
,Wind Tiding,Boletim do Vento,"Uma habilidade das fadas do clã do Vento.
Elas são capazes de enviar mensagens pelos ventos da Bretanha a outras fadas.",Avalon Le Fae,FGO
,Wing Clan,Clã da Asa,"Um dos seis clãs da Bretanha Feérica.
Composto de fadas aladas, o clã foi extinto em uma das guerras pelo clã da Presa.",Avalon Le Fae,FGO
,Beast of Cherishment,Beast da Apreciação,,Tunguska,FGO
,Dead Zone,Zona Morta,,Tunguska,FGO
,Golden White Face,Pálida Face Dourada,,Tunguska,FGO
,Gun beast,Besta armada,,Tunguska,FGO
,Life Zone,Zona Viva,,Tunguska,FGO
,Lost Familiar,Prole Perdida,,Tunguska,FGO
,Lost Weapon,Arma Perdida,,Tunguska,FGO
,War beast,Besta de guerra,,Tunguska,FGO
,Disciple(s) of the Foreign World,Discípulo(s) do Mundo Estrangeiro,,Traum,FGO
,Jokanaan,Iokanaan,,Traum,FGO
,Karl der Große,"Carlos, o Grande",,Traum,FGO
,Restoration Realm,Reino da Restauração,,Traum,FGO
,Revenge Realm,Reino da Vingança,,Traum,FGO
,Subject E,Sujeito E,Corpo alienígena misterioso encontrado por David Bluebook.,Traum,FGO
,Trigonion Tower,Torre Trigoniana,,Traum,FGO
,Via Regia Realm,Reino da Via Regia,,Traum,FGO
,Xoqqer,Xoqqer,Futebol.,Nahui Mictlan,FGO
,A-ray,A-ray,"Fadas primordiais que carregam consigo funções básicas do próprio planeta Terra.
Woodwose é o único A-ray restante.",Não-Traduzido,FGO
,Avalon,Avalon,"Um dos muitos nomes do núcleo do planeta.
Avalon, Tír na nÓg, o Paraíso... Todos se referem ao Mar Interior do Planeta.",Não-Traduzido,FGO
,Awd Goggie,Awd Goggie,"Uma fada mitológica parecida com uma lagarta,
dita como uma espécie de ""bicho papão"".",Não-Traduzido,FGO
,Crypter(s),Crypter(s),"Um outro nome para a Equipe A, os sete magos mais
capacitados e de confiança de Marisbury Animusphere.",Não-Traduzido,FGO
,Grand Order (termo feminino),Grand Order (termo feminino),"A operação que visa impedir a Incineração da Humanidade
e corrigir as Singularidades.",Não-Traduzido,FGO
,Grande Armée,Grande Armée,O lendário exército de Napoleão Bonaparte.,Não-Traduzido,FGO
,Hassan-i Sabbah,Hassan-i Sabbah,"O nome dos dezenove líderes da ceita islâmica de assasSinos,
a Ordem dos AssasSinos.",Não-Traduzido,FGO
,Hikikomori,Hikikomori,"Termo japonês para pessoas que vivem isoladas, podendo ficar reclusas do mundo externo até por anos.",Não-Traduzido,FGO
,Inrou,Inrou,,Não-Traduzido,FGO
,Karmaphage,Karmaphage,,Não-Traduzido,FGO
,Klironomia,Klironomia,Spoiler do LB5: Nanomáquinas derivadas da tecnologia e da Autoridade dos Deuses do Olimpo.,Não-Traduzido,FGO
,Lostbelt,Lostbelt,"(termo masculino) Spoiler do Prólogo dos Lostbelts: Linhas temporais excluídas do multiverso por serem inapropriadas para o futuro da humanidade, mas que foram trazidas de volta pelas ações do Deus Estrangeiro.",Não-Traduzido,FGO
,Moon Cell,Moon Cell,(termo masculino) Um supercomputador criado há bilhões de anos na Lua que armazenou todas as informações que transcorreram na Terra desde sua criação.,Não-Traduzido,FGO
,Mors,Mors,"Fadas da Bretanha Feérica que morrem ao perder seu propósito se tornam Mors,
criaturas corrompidas que incitam outras fadas a se corromperem.",Não-Traduzido,FGO
,NEET,NEET,"""Not in Education, Employment or Training"". Uma pessoa que não frequenta a escola, não está em treinamento para nada, e nem trabalha.",Não-Traduzido,FGO
,Onmyouji,Onmyouji,"Um praticante de Onmyoudou, uma mistura de ciência natural e ocultismo tradicional do Japão.",Não-Traduzido,FGO
,Redra Bit,Redra Bit,Uma fada do clã do Vento com uma aparência bastante familiar.,Não-Traduzido,FGO
,Seraphix,Seraphix,(Termo feminino),Não-Traduzido,FGO
,Serial Phantasm/SE.RA.PH,Serial Phantasm/SE.RA.PH,(Termo masculino),Não-Traduzido,FGO
,Spiritron,Spiritron,"A ""verdadeira essência"" de uma alma.",Não-Traduzido,FGO
,Yuga,Yuga,Ciclos do Manvantara que indicam a idade do universo.,Não-Traduzido,FGO